@relation SatImage
@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute a35 real
@attribute a36 real
@attribute clase {1,2,3,4,5,7}
@data
0.123000,0.436000,0.506000,0.388000,0.169000,0.400000,0.411000,0.367000,0.156000,0.388000,0.453000,0.367000,0.169000,0.418000,0.463000,0.376000,0.156000,0.447000,0.421000,0.367000,0.169000,0.447000,0.463000,0.391000,0.169000,0.462000,0.456000,0.392000,0.169000,0.505000,0.484000,0.383000,0.108000,0.505000,0.484000,0.383000,1
0.154000,0.400000,0.402000,0.339000,0.200000,0.473000,0.484000,0.383000,0.188000,0.505000,0.442000,0.406000,0.154000,0.391000,0.379000,0.344000,0.188000,0.417000,0.337000,0.359000,0.154000,0.379000,0.379000,0.359000,0.215000,0.462000,0.522000,0.408000,0.215000,0.427000,0.411000,0.344000,0.169000,0.427000,0.411000,0.344000,1
0.154000,0.455000,0.460000,0.347000,0.108000,0.355000,0.379000,0.336000,0.141000,0.417000,0.379000,0.359000,0.123000,0.436000,0.495000,0.408000,0.156000,0.427000,0.411000,0.367000,0.169000,0.388000,0.453000,0.367000,0.169000,0.442000,0.489000,0.376000,0.169000,0.447000,0.421000,0.367000,0.169000,0.447000,0.463000,0.391000,1
0.169000,0.373000,0.391000,0.339000,0.169000,0.400000,0.389000,0.320000,0.156000,0.427000,0.389000,0.352000,0.138000,0.336000,0.368000,0.336000,0.172000,0.437000,0.368000,0.359000,0.185000,0.437000,0.368000,0.359000,0.108000,0.423000,0.378000,0.360000,0.108000,0.388000,0.358000,0.352000,0.154000,0.427000,0.442000,0.352000,1
0.169000,0.400000,0.391000,0.339000,0.169000,0.436000,0.432000,0.383000,0.156000,0.505000,0.484000,0.383000,0.185000,0.473000,0.484000,0.400000,0.172000,0.466000,0.484000,0.391000,0.138000,0.437000,0.411000,0.391000,0.200000,0.538000,0.556000,0.448000,0.154000,0.466000,0.484000,0.383000,0.154000,0.427000,0.442000,0.383000,1
0.169000,0.400000,0.437000,0.372000,0.169000,0.373000,0.389000,0.352000,0.156000,0.427000,0.389000,0.320000,0.138000,0.309000,0.326000,0.304000,0.125000,0.359000,0.368000,0.328000,0.185000,0.437000,0.368000,0.359000,0.108000,0.462000,0.511000,0.392000,0.108000,0.427000,0.358000,0.352000,0.108000,0.388000,0.358000,0.352000,1
0.169000,0.418000,0.471000,0.355000,0.169000,0.418000,0.421000,0.367000,0.156000,0.447000,0.463000,0.391000,0.169000,0.436000,0.432000,0.392000,0.156000,0.505000,0.484000,0.383000,0.108000,0.505000,0.484000,0.383000,0.185000,0.462000,0.511000,0.400000,0.138000,0.437000,0.411000,0.391000,0.138000,0.398000,0.411000,0.359000,1
0.169000,0.436000,0.437000,0.397000,0.169000,0.436000,0.484000,0.383000,0.250000,0.466000,0.432000,0.352000,0.185000,0.436000,0.453000,0.368000,0.172000,0.466000,0.411000,0.359000,0.246000,0.437000,0.411000,0.328000,0.200000,0.500000,0.467000,0.416000,0.200000,0.427000,0.358000,0.352000,0.200000,0.427000,0.358000,0.320000,1
0.169000,0.473000,0.414000,0.355000,0.169000,0.400000,0.337000,0.344000,0.109000,0.388000,0.337000,0.281000,0.215000,0.455000,0.463000,0.400000,0.156000,0.447000,0.421000,0.367000,0.169000,0.408000,0.379000,0.336000,0.262000,0.462000,0.456000,0.360000,0.262000,0.398000,0.347000,0.297000,0.215000,0.398000,0.347000,0.320000,1
0.185000,0.436000,0.414000,0.347000,0.246000,0.409000,0.411000,0.328000,0.234000,0.398000,0.326000,0.328000,0.200000,0.400000,0.358000,0.360000,0.188000,0.427000,0.358000,0.320000,0.200000,0.427000,0.316000,0.320000,0.200000,0.375000,0.400000,0.344000,0.200000,0.417000,0.379000,0.336000,0.200000,0.417000,0.379000,0.336000,1
0.185000,0.509000,0.586000,0.413000,0.138000,0.436000,0.484000,0.359000,0.125000,0.437000,0.411000,0.359000,0.154000,0.509000,0.484000,0.416000,0.141000,0.505000,0.484000,0.383000,0.154000,0.427000,0.400000,0.383000,0.200000,0.442000,0.444000,0.368000,0.108000,0.447000,0.421000,0.359000,0.154000,0.447000,0.379000,0.391000,1
0.200000,0.391000,0.379000,0.322000,0.200000,0.391000,0.379000,0.336000,0.250000,0.447000,0.379000,0.359000,0.215000,0.473000,0.411000,0.376000,0.203000,0.466000,0.453000,0.344000,0.215000,0.427000,0.368000,0.313000,0.277000,0.481000,0.533000,0.400000,0.277000,0.447000,0.421000,0.336000,0.169000,0.340000,0.295000,0.305000,1
0.200000,0.400000,0.356000,0.306000,0.200000,0.400000,0.316000,0.320000,0.188000,0.427000,0.358000,0.320000,0.200000,0.391000,0.379000,0.344000,0.188000,0.417000,0.379000,0.336000,0.262000,0.447000,0.379000,0.359000,0.215000,0.500000,0.433000,0.376000,0.215000,0.466000,0.453000,0.344000,0.215000,0.427000,0.368000,0.313000,1
0.200000,0.491000,0.460000,0.380000,0.154000,0.418000,0.421000,0.359000,0.250000,0.524000,0.453000,0.422000,0.215000,0.518000,0.537000,0.408000,0.156000,0.553000,0.453000,0.367000,0.215000,0.592000,0.495000,0.398000,0.215000,0.558000,0.578000,0.400000,0.277000,0.563000,0.463000,0.391000,0.215000,0.524000,0.421000,0.391000,1
0.215000,0.336000,0.299000,0.339000,0.169000,0.373000,0.347000,0.320000,0.203000,0.359000,0.305000,0.352000,0.185000,0.373000,0.284000,0.336000,0.172000,0.359000,0.284000,0.328000,0.138000,0.330000,0.253000,0.297000,0.154000,0.385000,0.422000,0.328000,0.200000,0.388000,0.358000,0.320000,0.200000,0.350000,0.316000,0.320000,1
0.215000,0.382000,0.379000,0.322000,0.215000,0.382000,0.337000,0.336000,0.156000,0.379000,0.337000,0.336000,0.169000,0.400000,0.389000,0.328000,0.156000,0.427000,0.389000,0.352000,0.169000,0.466000,0.432000,0.352000,0.185000,0.433000,0.389000,0.368000,0.185000,0.437000,0.368000,0.359000,0.138000,0.437000,0.411000,0.359000,1
0.215000,0.418000,0.425000,0.355000,0.215000,0.455000,0.463000,0.367000,0.203000,0.485000,0.463000,0.367000,0.215000,0.473000,0.484000,0.328000,0.203000,0.505000,0.484000,0.406000,0.262000,0.544000,0.484000,0.383000,0.246000,0.500000,0.511000,0.400000,0.308000,0.544000,0.484000,0.391000,0.492000,0.699000,0.568000,0.453000,1
0.215000,0.436000,0.414000,0.355000,0.215000,0.473000,0.453000,0.344000,0.203000,0.505000,0.453000,0.344000,0.215000,0.418000,0.421000,0.400000,0.266000,0.447000,0.421000,0.367000,0.277000,0.485000,0.505000,0.367000,0.215000,0.462000,0.411000,0.360000,0.262000,0.505000,0.484000,0.383000,0.262000,0.583000,0.568000,0.438000,1
0.215000,0.473000,0.494000,0.397000,0.262000,0.509000,0.484000,0.383000,0.250000,0.544000,0.526000,0.406000,0.308000,0.509000,0.484000,0.400000,0.484000,0.699000,0.568000,0.453000,0.431000,0.738000,0.621000,0.453000,0.262000,0.538000,0.556000,0.392000,0.308000,0.583000,0.484000,0.406000,0.415000,0.709000,0.611000,0.469000,1
0.215000,0.518000,0.598000,0.413000,0.277000,0.555000,0.579000,0.453000,0.313000,0.680000,0.579000,0.453000,0.215000,0.564000,0.589000,0.464000,0.266000,0.650000,0.642000,0.453000,0.277000,0.650000,0.589000,0.422000,0.262000,0.654000,0.644000,0.504000,0.262000,0.583000,0.611000,0.438000,0.262000,0.544000,0.526000,0.438000,1
